CANOIL PRODUCT AND CUSTOMER LIST
Generated: 2025-12-01 18:43:01

================================================================================
PRODUCTS WITH PACKAGING SIZES
================================================================================

Item No.,Description,Packaging Size,Stocking Units,Purchasing Units,Unit Weight,Status,Item Type,Stock,Recent Cost,Standard Cost
10W30 FCW LP 4X4L LBL-F,10W30 FCW LP MIN 4x4L LBL,N/A,EA,EA,0,Active,Raw Material,"1,055.000000",$0.225000,$0.000000
135589,"VISCOMETER HOLDER, NEOPRENE RUBBER ",N/A,each,each,0,Active,Raw Material,0.000000,$56.000000,$0.000000
175I-Q,175i make-up fluid - 1 US quart (0.95 litre),N/A,each,each,1,Active,Raw Material,0.000000,$0.000000,$0.000000
18GALKEG,18-gal/55-kg tapered black steel open head keg w/ lug cover,Keg,EA,EA,1,Active,Raw Material,27.000000,$45.000000,$46.200000
"2""BALLVALVENPTOTLETEPDM","2"" BALL VALVE NPT OTLET EPDM NYLON COLLAR SCHUTZ",N/A,EA,EA,0,Active,Raw Material,0.000000,$25.250000,$0.000000
"2""FMLNPTXMALEQDADAPTER","2"" FML NPT X MALE QD ADAPTER TYPE A",N/A,EA,EA,0,Active,Raw Material,0.000000,$14.600000,$0.000000
"2""FOILSEALFORPLASTICVALV","2"" FOIL SEAL FOR PLASTIC VALVE HEAT APPLIED",N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
"2""QDVALVEW/VITONGASKET","2"" QD VALVE W/VITON GASKET METL COL/CAP MAUSER/GREIF",N/A,EA,EA,0,Active,Raw Material,0.000000,$27.450000,$0.000000
25W40 FCW SYN 12X1 LBL-B,25W40 FCW LP Synthetic 12x1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,125.000000",$0.000000,$0.000000
25W40 FCW SYN 12X1 LBL-F,25W40 FCW LP Synthetic12x1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,076.000000",$0.000000,$0.000000
25W40 FCW SYN 4X4L LBL-B,25W40 FCW LP Synthetic 4x4L LBL,N/A,EA,EA,0,Active,Raw Material,956.000000,$0.163000,$0.000000
25W40 FCW SYN 4X4L LBL-F,25W40 FCW LP Synthetic 4x4L LBL,N/A,EA,EA,0,Active,Raw Material,"1,019.000000",$0.163000,$0.000000
2GPHSRIBBON,ASI wax/resin ribbon for barcode printer (SKU 0888-0150),CASE,EA,CASE,1,Active,Raw Material,0.000000,$5.600000,$5.600000
3030-17PRO-LUBPAIL,LQ Pro-Lub 3030 - 17 kg pail (G-2106-1),"17kg, Pail",PAIL,PAIL,1,Active,Assembled,0.000000,$0.000000,$126.290000
3030-180PRO-LUBDRM,LQ Pro-Lub 3030 - 180 kg drum (G-2106-1),"180kg, Drum",DRUM,DRUM,1,Active,Assembled,0.000000,$0.000000,"$1,260.000000"
3030-400PRO-LUBTUBE,LQ Pro-Lub 3030 - 400 g tube,Tube,EA,EA,1,Active,Raw Material,"2,302.000000",$0.260000,$0.000000
3030-400PRO-LUBTUBECASES,LQ Pro-Lub 3030 - 3×10×400 g (G-2106-1),CASE,CASE,CASE,1,Active,Assembled,0.000000,$88.238740,$88.238740
3030-55PRO-LUBKEG,LQ Pro-Lub 3030 - 55 kg keg (G-2106-1),"55kg, Keg",KEG,KEG,1,Active,Assembled,0.000000,$421.060000,$428.200000
3GSSUPERDRM,BVA 3GSuper Refrigeration Oil - 55 US gal drum,"Drum, GALLON",GALLON,DRUM,1,Active,Raw Material,18.000000,$9.240000,$9.240000
40’ STD USED CONTAINERS,40’ STD USED CONTAINERS,"Container, 1",1,1,0,Active,Raw Material,0.000000,"$2,000.000000",$0.000000
4848-2HW,48x48 2-way heavyweight untreated recycled wood pallet,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
4848-2HWHT,48x48 2-way heavyweight heat treated recycled wood pallet,N/A,EA,EA,0,Active,Raw Material,0.000000,$18.450000,$0.000000
4GPHSRIBBON,ASI wax/resin ribbon for barcode printer (SKU 0888-0075),N/A,EA,EA,1,Active,Raw Material,14.000000,$10.950000,$10.950000
4GSUPERDRM,BVA 4GSuper - 55 US gal drum,"Drum, LITRE",LITRE,DRUM,1,Active,Raw Material,0.000000,$2.519200,$2.519200
4GSUPERTOTE,BVA 4GSuper - 275 US gal tote,"LITRE, TOTE",LITRE,TOTE,1,Active,Raw Material,"1,062.000000",$3.744874,$2.582200
4GSUPERTOTE-330,BVA 4GSuper - 330 US gal tote,"LITERS, TOTE",LITERS,TOTE,0,Active,Raw Material,0.000000,$2.840273,$0.000000
51.5 US GALLON FIBER DRU,51.5 US Gallon Fiber drum,"Drum, Gallon",EA,EA,0,Active,Raw Material,1.000000,$46.890000,$0.000000
55 US GALLON FIBER DRUM,55 US Gallon Fiber drum,"Drum, Gallon",EA,EA,0,Active,Raw Material,1.000000,$42.000000,$0.000000
600 ML BLACK BOTTLE,CC 600 ml black bottle HDPE - Do not use,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.847900,$0.000000
601371,ASTMD1169 - Resistive properties of Phosphate Ester Fluids ,N/A,,,1,Active,Raw Material,0.000000,$101.600000,$0.000000
601557,ASTM D664 - Acid Number,N/A,EA,EA,1,Active,Raw Material,0.000000,$82.550000,$0.000000
601643,foam tendency sequence 1,N/A,EACH,EACH,0,Active,Outside Processing,5.000000,$183.400000,$0.000000
601661,ASTM6304 - Water concentration by KF,N/A,,,1,Active,Raw Material,0.000000,$73.660000,$0.000000
6400-17PRO-LUBPAIL 17KG,LQ Pro-Lub 6400 - 17 kg pail (G-2175-1),"17kg, Pail",PAIL,PAIL,1,Active,Assembled,0.000000,$160.240000,$128.330000
6400-180 PRO-LUB DRM,LQ Pro-Lub 6400 - 180 kg drum (G-2175-1),"180kg, Drum",DRUM,DRUM,1,Active,Assembled,0.000000,"$1,578.600000","$1,281.600000"
6400-400 PRO-LUB CASE,LQ Pro-Lub 6400 - 3×10×400 g (G-2175-1),CASE30,CASE30,CASE30,1,Active,Assembled,0.000000,$118.430251,$89.678740
6400-400PROLUBTUBE,LQ Pro-Lub 6400 - 400 g tube,Tube,EA,EA,1,Active,Raw Material,"6,890.000000",$0.260000,$0.000000
6400-55 PRO-LUB 55KG KEG,LQ Pro-Lub 6400 - 55 kg keg (G-2175-1),"55kg, Keg",KEG,KEG,1,Active,Assembled,0.000000,$521.650000,$434.800000
711R15 GLUE STICK,"Glue stick - 7/16""×15"" - 25 lb",N/A,EA,EA,0,Active,Raw Material,8.000000,$139.100000,$122.850000
75W90 FS GEAR 12X1 LBL-B,75W90 Full Syn 12x1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,130.000000",$0.210000,$0.000000
75W90 FS GEAR 12X1 LBL-F,75W90 Full Syn 12x1L LBL,N/A,EA,EA,0,Active,Raw Material,"1,130.000000",$0.210000,$0.000000
75W90 FS GEAR 4X4L LBL-B,75W90 Full Syn 4x4L LBL,N/A,EA,EA,0,Active,Raw Material,459.000000,$0.113000,$0.000000
75W90 FS GEAR 4X4L LBL-F,75W90 Full Syn 4x4L LBL,N/A,EA,EA,0,Active,Raw Material,459.000000,$0.113000,$0.000000
815155,10 PAK KRAFT,1,,1,0,Active,Raw Material,0.000000,$0.430000,$0.000000
925CLRFORMULATION,925 Clear Moly Lubricant - Formulation (1 kg),"1kg, KG",KG,KG,1,Active,Assembled,0.000000,$2.803993,$2.059309
925CLRP17,925 Clear Moly Lubricant - 17 kg pail,"17kg, Pail",PAIL,PAIL,1,Active,Assembled,45.000000,$61.717874,$44.768250
925REGFORMULATION,925 Regular Moly Lubricant - Formulation (1 kg),"1kg, KG",KG,KG,1,Active,Assembled,111.500000,$2.892844,$2.109939
925REGP17,925 Regular Moly Lubricant - 17 kg pail,"17kg, Pail",PAIL,PAIL,1,Active,Assembled,2.000000,$63.615326,$45.628960
939,Standard 4-MIL POLY STRAIGHT BOTTOM,1,1,1,0,Active,Raw Material,0.000000,$4.500000,$0.000000
99170-1CARTONS12PACK,Grote 99170-1 - Blue 12-pack display package - 82089038,N/A,EA,EA,1,Active,Raw Material,"1,485.000000",$0.000000,$0.000000
99170-1CARTONSTICKER,Grote 99170-1 - Carton sticker (Brown box) - 84006311,N/A,EA,EA,1,Active,Raw Material,72.000000,$0.000000,$0.000000
99170-1GROTE12PKTUBECASE,Grote Ultra-Seal 12×118 ml tube display case (99170-1),"Case, Tube, CASE12",CASE12,CASE12,1,Active,Assembled,0.000000,$0.015100,$0.010200
99170-1INSERTBLUEBOX,Grote 99170-1 - Insert for display package - 82089061,N/A,EA,EA,1,Active,Raw Material,615.000000,$0.000000,$0.000000
99170-1SLIPCOVERBROWN,Grote 99170-1 - Slip cover (Outer brown box) - 82089087,N/A,EA,EA,1,Active,Raw Material,725.000000,$0.000000,$0.000000
99170BOXLABELS50PACK,Grote 99170 USeal 118 ml 50-pack - Carton sticker 84006303,N/A,EA,EA,1,Active,Raw Material,"2,069.000000",$0.000000,$0.000000
99170CARTON50PACK,Grote Ultra-Seal 118 ml 50-pack - Carton - 82089012,N/A,EA,EA,1,Active,Raw Material,0.000000,$0.000000,$0.000000
99170GROTE50PACKTUBECASE,Grote Ultra-Seal 50×118 ml tube bulk case (99170),"Case, Tube, CASE50",CASE50,CASE50,1,Active,Assembled,0.000000,$8.690922,$0.020400
ACAO-168F DRM,ACAO-168 - 25 kg plastic bag,"25kg, KG, DRUM",KG,DRUM,0,Active,Raw Material,0.000000,$9.652500,$9.652500
ACTIVE SULPHUR,Active Sulphur Low level ASTM D5453,N/A,EA,EA,0,Active,Raw Material,0.000000,$115.000000,$0.000000
ACTUATOR ST320 EXT TUBE,Actuator ST320 with extension tube version,Tube,EA,EA,0,Active,Raw Material,"35,304.000000",$0.047250,$0.000000
ACTUATOR-CHINA,Actuator - White color - China - Black tip,N/A,EA,EA,0,Active,Raw Material,"20,000.000000",$0.027000,$0.027000
AEC-1L TIN CAN CAPS,AEC Group 1 L tin can cap,N/A,EA,EA,0,Active,Raw Material,"1,364.000000",$0.000000,$0.000000
AEC-1L TIN CAN CARTONS,AEC 1 L tin can carton 14 1/4 x 9 1/2  x 7 1/2,N/A,EA,EA,0,Active,Raw Material,585.000000,$1.557160,$0.000000
AEC-1L TIN CAN INSERTS,AEC Group 1 L tin can insert,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
AEC-1L TIN CANS,AEC Group 1 L tin can,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
AEC-DIESEL CLEANER CASE,AEC Group Diesel Fuel System Cleaning Solution 12×1 L case,Case,CASE,CASE,0,Active,Assembled,0.000000,$104.249934,$52.010160
AEC-GAS SYS CLEANER CASE,AEC Group Petrol (Gas) System Cleaning Solution 12×1 L case,Case,CASE,CASE,0,Active,Assembled,0.000000,$100.657059,$31.307280
AECENGINEFLUSHP18.4,AEC Group Engine Flush Solution 18.8 kg can,"8kg, PAIL",PAIL,PAIL,1,Active,Assembled,0.000000,$72.114075,$42.238744
AEROSOL BOV-CHINA,Aerosol Bag-on-Valve (BOV) - China,N/A,EA,EA,0,Active,Raw Material,"10,400.000000",$0.472500,$0.472500
AIT-TEST,Autoignition temperature (AIT) test,N/A,EA,EA,0,Active,Raw Material,0.000000,$350.000000,$350.000000
AM-12X1L CASE,12X1L Oblong Offset,N/A,,,0,Active,Assembled,0.000000,$0.000000,$0.000000
AMPHOSOL CG DRM,AMPHOSOL CG - 204 kg drum,"204kg, Drum, KG",KG,DRUM,0,Active,Raw Material,103.200000,$5.600000,$5.600000
AMSOILCAPBLUE,Amsoil blue cap (for Amsoil GPOR1 and GPTR1),BOX,EA,Box,1,Active,Raw Material,"27,174.000000",$0.000000,$0.000000
AMSOILCAPRED,Amsoil red cap (for Amsoil GPOR2 and GPTR2),BOX,EA,Box,1,Active,Raw Material,624.000000,$0.000000,$0.000000
AMSOILCAPWHITE,Amsoil white cap (for Amsoil GRG2 and GRXDP460CR),BOX,EA,Box,1,Active,Raw Material,"59,054.000000",$0.000000,$0.000000
AND86EP2TLBL,Anderol 86 EP-2 - Tube label (3.5” × 8.125”),Tube,Each,Each,1,Active,Raw Material,"1,105.000000",$0.240000,$0.000000
ANDEP2C30,Anderol 86 EP-2 - 3×10×400 g case (G-2000-2),"Case, CASE30",CASE30,CASE30,1,Active,Assembled,4.000000,$87.858517,$65.918740
ANDEROL FGCS-2 TUBE 400G,Anderol FGCS-2 - 400 g tube,Tube,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ANDEROL OT-2 RED TUBE,Anderol OT-2 Red - 400 g tube,Tube,EA,EA,0,Active,Raw Material,"1,141.000000",$0.000000,$0.000000
ANDEROL555SYN,Anderol 555 (Syn. compressor/vaccum pump oil) - 200 kg drum,"200kg, Drum",DRUM,DRUM,1,Active,Raw Material,4.000000,"$3,756.000000","$2,450.000000"
ANDEROL86EP2DRM,Anderol 86 EP-2 - 180 kg Drum (G-2000-2),"180kg, Drum",DRUM,DRUM,1,Active,Assembled,0.000000,"$1,240.200000",$925.200000
ANDEROL86EP2K55,Anderol 86 EP-2 - 55 kg keg (G-2000-2),"55kg, Keg",KEG,KEG,1,Active,Assembled,0.000000,$440.110000,$328.400000
ANDEROL86EP2P17KG,Anderol 86 EP-2 - 17 kg pail (G-2000-2),"17kg, Pail",PAIL,PAIL,1,Active,Assembled,0.000000,$0.000000,$94.670000
ANDEROL86EP2TUBE400G,Anderol 86 EP-2 - 400 g tube,Tube,EA,EA,0,Active,Raw Material,896.000000,$0.000000,$0.000000
ANDEROLFGCS-2C30TUBECASE,Anderol FGCS-2 - 3×10×400 g case (G-2234-2),"Case, CASE30",CASE30,CASE30,0,Active,Assembled,0.660000,$125.149918,$104.267740
ANDEROLFGCS-2DRM,Anderol FGCS-2 - 180 kg drum (G-2234-2),"180kg, Drum",DRUM,DRUM,0,Active,Assembled,0.000000,$0.000000,$0.000000
ANDEROLFGCS2PAIL17KG,Anderol FGCS-2 - 17 kg pail (G-2234-2),"17kg, Pail",PAIL,PAIL,1,Active,Assembled,0.000000,$160.721000,$149.070000
ANDFGCS2TLBL,Anderol FGCS-2 - Tube label (3.5” × 8.125”),Tube,Each,Each,1,Active,Raw Material,94.000000,$0.240000,$0.000000
ANNUAL INSPECTION,,N/A,,,0,Active,Raw Material,0.000000,$952.450000,$0.000000
APCO467DRM,Apco 467 - 163 kg drum (CCC item # 284611),"163kg, Drum, KG",KG,DRUM,1,Active,Raw Material,0.000000,$3.890000,$3.890000
APCO467TOTE,Apco 467 - Tote,"KG, TOTE",KG,TOTE,1,Active,Raw Material,0.000000,$0.000000,$3.430000
AROMATICSOLVENT,Aromatic solvent,N/A,EA,EA,1,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM 445-WEARCHECK,ASTM 445-WEARCHECK Viscosity @40C,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM 874,Sulphated Ash,1,,1,0,Active,Raw Material,2.000000,$125.000000,$0.000000
ASTM D 56,[Intertek] ASTM D56 - Flash Point by Tagliabue CC Tester,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D 93A,[Intertek] ASTM D93A - Flash Point by Pensky-Martens CC Test,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D-130 PETRO MISSISS,ASTM D130 - Copper Corrosion by Copper Strip Test (Mis. Lab),N/A,EA,EA,1,Active,Raw Material,0.000000,$50.000000,$50.000000
ASTM D-130 PETRO-NJ,ASTM D130 - Copper Corrosion by Copper Strip Test (NJ Lab),N/A,EA,EA,1,Active,Raw Material,0.000000,$109.999999,$110.000000
ASTM D-1552,ASTM D1552 - Total Sulfur by IR Detection or TCD,N/A,EA,EA,0,Active,Raw Material,0.000000,$50.000000,$50.000000
ASTM D-217,ASTM D217 - Cone Penetration of Lubricating Grease,N/A,EA,EA,1,Active,Raw Material,0.000000,$50.000000,$50.000000
ASTM D-2270-VISC INDEX,ASTM D-2270 - Viscosity Index,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D-2624,ASTM D2624 - Electrical Conductivity of Aviation Fuels,N/A,EA,EA,0,Active,Raw Material,0.000000,$30.000000,$30.000000
ASTM D-278,ASTM D278 - Density Test,N/A,Each,Each,0,Active,Raw Material,0.000000,$15.000000,$15.000000
ASTM D-2896-TBN,ASTM D-2896-TBN,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D-445,ASTM D445 - Kinematic Viscosity at 40 °C,N/A,Each,Each,0,Active,Raw Material,0.000000,$20.000000,$20.000000
ASTM D-445 @100,ASTM D445 - Kinematic Viscosity at 100 °C,N/A,EA,EA,1,Active,Raw Material,0.000000,$50.000000,$50.000000
ASTM D-445 VIS @0C,ASTM D445 - Kinematic Viscosity at 0 °C,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D-56,ASTM D56 - Flash Point by Tagliabue CC Tester,N/A,EA,EA,0,Active,Raw Material,0.000000,$50.000000,$0.000000
ASTM D-665A,ASTM D665A - Rust Prevention of Industrial Lubricants,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D-874-SULPHATED ASH,ASTM D-874-SULPHATED ASH,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D-92,ASTM D92 - Flash Point by Cleveland Open Cup,N/A,Each,Each,0,Active,Raw Material,0.000000,$40.000000,$50.000000
ASTM D-93,ASTM D93 - Flash Point by Pensky-Martens CC Tester,N/A,EA,EA,0,Active,Raw Material,0.000000,$50.000000,$50.000000
ASTM D-941,ASTM D941 - Density of Liquids at 20 °C by LBP,N/A,EA,EA,0,Active,Raw Material,0.000000,$15.000000,$0.000000
ASTM D-97,ASTM D97 - Pour Point of Petroleum Products,N/A,Each,Each,0,Active,Raw Material,0.000000,$50.000000,$0.000000
ASTM D-974,ASTM D974 - Acid and Base No. by Color-Indicator Titration,N/A,EA,EA,0,Active,Raw Material,0.000000,$13.500000,$13.500000
ASTM D1264,Water washout characteristics @ 30degc (1 bearing for screen,N/A,EA,EA,0,Active,Outside Processing,0.000000,$0.000000,$0.000000
ASTM D1401,Emulsion stability ASTM D1401,1,1,1,0,Active,Raw Material,0.000000,$65.000000,$0.000000
ASTM D156,ASTM D156 - Saybolt Color by Saybolt Chromometer Method,N/A,EA,EA,0,Active,Raw Material,0.000000,$30.000000,$50.000000
ASTM D1662,Active Sulphur ASTM D1662,1,1,1,0,Active,Raw Material,0.000000,$50.000000,$0.000000
ASTM D2266,Four ball wear of grease,N/A,EA,EA,0,Active,Outside Processing,0.000000,$0.000000,$0.000000
ASTM D2596,Load wear index of grease,N/A,EA,EA,0,Active,Outside Processing,0.000000,$0.000000,$0.000000
ASTM D2887-WEARCHECK,ASTM D2887-WEARCHECK ( sim dist by GC ),N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D445,Viscoity at -40 deg.c as per ASTM D445,N/A,EA,EA,1,Active,Raw Material,0.000000,$150.000000,$0.000000
ASTM D664,Total Acid Number,1,1,1,1,Active,Raw Material,0.000000,$50.000000,$0.000000
ASTM D664 ACID,"ASTM D664 - Acid No. by Potentiometric Titration, mg KOH/g",N/A,Each,Each,0,Active,Raw Material,0.000000,$23.400000,$23.400000
ASTM D877,Dielectric Breakdown Voltage Test,1,1,1,1,Active,Raw Material,0.000000,$50.000000,$0.000000
ASTM D877 DIELECTRIC,ASTM D877 - Dielectric Breakdown Voltage of Insulating Liqs.,N/A,EA,EA,0,Active,Raw Material,0.000000,$35.000000,$35.000000
ASTM D893,Pentane Insolubles ,1,1,1,1,Active,Raw Material,0.000000,$50.000000,$0.000000
ASTM D92-WEARCHECK,ASTM D92-WEARCHECK Flash Point (No Fire Point),N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTM D93,ASTM D93 - Pensky Martens Closed Cup,1,1,1,0,Active,Raw Material,0.000000,$75.000000,$0.000000
ASTM D96,Toluene Rinse and Weight Filter,1.0,1.0,1.0,1,Active,Raw Material,0.000000,$40.000000,$0.000000
ASTM D974,Total Acid Number ASTM D974,N/A,EA,EA,1,Active,Raw Material,0.000000,$30.000000,$0.000000
ASTM D974 ACID,ASTM D974 - Acidic Constituents Analysis,N/A,EA,EA,0,Active,Raw Material,0.000000,$200.000000,$200.000000
ASTM-1500 COLOR ANALYSIS,ASTM D1500 - Color of Petroleum Products (ASTM Color Scale),N/A,Each,Each,0,Active,Raw Material,0.000000,$125.000000,$125.000000
ASTM-D-664,"ASTM D664 - Acid No. by Potentiometric Titration, mg KOH/g",N/A,Each,Each,0,Active,Raw Material,0.000000,$13.500000,$13.500000
ASTM-D-92,ASTM D92 - Fire Point by Cleveland Open Cup,N/A,EA,EA,0,Active,Raw Material,0.000000,$50.000000,$0.000000
ASTM-D2269,ASTM D2269 - White Mineral Oils Evaluation by UV Absorption,N/A,EA,EA,0,Active,Raw Material,0.000000,$120.000000,$0.000000
ASTM-D789_D4878,ASTM D789/D4878 - Brookfield Viscosity (Room temp.),N/A,EA,EA,1,Active,Raw Material,0.000000,$30.000000,$0.000000
ASTM-VISCOSITY AT 0C,ASTM D445 - Kinematic Viscosity at 0 °C,N/A,Each,Each,1,Active,Raw Material,0.000000,$75.000000,$75.000000
ASTMD1275B,ASTM D1275B - Corrosive Sulphur,N/A,Each,Each,0,Active,Raw Material,0.000000,$40.000000,$0.000000
ASTMD129815C,ASTM D1298 - Specific Gravity @ 15 °C,N/A,Each,Each,0,Active,Raw Material,0.000000,$20.000000,$0.000000
ASTMD1524,ASTM D1524 - Appearance (No cost),N/A,Each,Each,0,Active,Raw Material,0.000000,$0.000000,$0.000000
ASTMD1533,"ASTM 1533 - Water Content, ppm",N/A,Each,Each,0,Active,Raw Material,0.000000,$40.000000,$0.000000
ASTMD1816,ASTM D1816 - Dielectric Breakdown @ 60 HZ (kV),N/A,Each,Each,0,Active,Raw Material,0.000000,$40.000000,$0.000000
ASTMD2440A,"ASTM D2440 - Oxidation Stability, 72 h-Acid",N/A,Each,Each,0,Active,Raw Material,0.000000,$160.000000,$0.000000
ASTMD2440S,"ASTM D2440 - Oxidation Stability, 72 h-Sludge",N/A,Each,Each,0,Active,Raw Material,0.000000,$95.000000,$0.000000
ASTMD2879,ASTM D2879 - Vapor Pressure-Temp. by Isoteniscope (30 ml),N/A,EA,EA,1,Active,Raw Material,0.000000,$400.000000,$400.000000
ASTMD4059,"ASTM D4059 - PCB Content, ppm",N/A,Each,Each,0,Active,Raw Material,0.000000,$75.000000,$0.000000
ASTMD445,ASTM D445 - Kinematic Viscosity at -18 °C (-0.4 °F) (100 ml),N/A,EA,EA,1,Active,Raw Material,0.000000,$130.000000,$130.000000
ASTMD445MIN40C,ASTM D445 - Kinematic Viscosity at -40 °C,N/A,Each,Each,0,Active,Raw Material,0.000000,$150.000000,$0.000000
ASTMD924100C,ASTM D924 - Power Factor @ 100 °C,N/A,Each,Each,0,Active,Raw Material,0.000000,$40.000000,$0.000000
ASTMD92425C,ASTM D924 - Power Factor @ 25 °C,N/A,Each,Each,0,Active,Raw Material,0.000000,$30.000000,$0.000000
ASTMD971,"ASTM D971 - Interfacial Tension @ 25 °C, dynes/cm",N/A,Each,Each,0,Active,Raw Material,0.000000,$50.000000,$0.000000
ASTME659,ASTM E659 - Autoignition Temperature (AIT) of Chemicals,N/A,EA,EA,0,Active,Raw Material,0.000000,$350.000000,$0.000000
AUTOBLUE,AUTOMATEBLUE,"LBS, CAN",LBS,CAN,1,Active,Raw Material,4.229860,$13.460000,$13.460000
AUTOMATE BLUE 8A DRM,AUTOMATE BLUE 8A Drum- 180.98 kg,"98kg, Drum, KG",KG,DRUM,0,Active,Raw Material,167.240000,$49.040000,$0.000000
AUTOREDB,"AUTOMATERED""B""","LBS, CAN",LBS,CAN,1,Active,Raw Material,44.312517,$13.850000,$13.850000
AW- INFINITY PEN PAIL20L,AwSUM Infinity Heavy Duty Penetrator (Pen) - 20 L pail,Pail,PAIL,PAIL,0,Active,Assembled,0.000000,$9.870000,$9.870000
AW-750ML BOTTLE CAPS,AwSUM 750 ml bottle cap,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
AW-BOTTLE SHRINK SLEEVES,AwSUM bottle shrink sleeve,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
AW-DIESELFX 4X4X750ML MB,AwSUM Diesel FX (Diesel fuel additive) - 4×4×750 ml case,"Case, CASE16",CASE16,CASE16,0,Active,Assembled,0.000000,$0.000000,$0.020400
AW-DIESELFX BOTTLE 750ML,AwSUM Diesel FX (Diesel fuel additive) - 750 ml bottle,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
AW-DIESELFX BOTTLE LABEL,AwSUM Diesel FX (Diesel fuel additive) - 750 ml bottle label,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
AW-DIESELFX DRUM,AwSUM Diesel FX (Diesel fuel additive) - 200 L drum,"Drum, LITER",LITER,DRUM,0,Active,Raw Material,0.000000,$0.000000,$0.000000
AW-DIESELFXMB 4X4X750ML,AwSUM Diesel FX (Diesel fuel additive) - Master box,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
AW-DIESELFXUB 4X750ML,AwSUM Diesel FX (Diesel fuel additive) - Unit box,N/A,EA,EA,0,Active,Raw Material,0.000000,$0.000000,$0.000000
